ts_code
000001.SZ
000002.SZ
000063.SZ
000333.SZ
000338.SZ
000568.SZ
000651.SZ
000725.SZ
000776.SZ
000858.SZ
002027.SZ
002074.SZ
002230.SZ
002271.SZ
002304.SZ
002352.SZ
002415.SZ
002475.SZ
002594.SZ
002714.SZ
300015.SZ
300059.SZ
300124.SZ
300274.SZ
300308.SZ
300316.SZ
300433.SZ
300498.SZ
300750.SZ
300760.SZ
600000.SH
600009.SH
600016.SH
600019.SH
600025.SH
600028.SH
600029.SH
600030.SH
600031.SH
600036.SH
600048.SH
600050.SH
600085.SH
600104.SH
600196.SH
600276.SH
600309.SH
600346.SH
600406.SH
600436.SH
600438.SH
600519.SH
600547.SH
600570.SH
600585.SH
600588.SH
600600.SH
600690.SH
600745.SH
600809.SH
600837.SH
600886.SH
600887.SH
600900.SH
600918.SH
600919.SH
600926.SH
600941.SH
601012.SH
601066.SH
601088.SH
601138.SH
601166.SH
601169.SH
601225.SH
601288.SH
601318.SH
601328.SH
601333.SH
601390.SH
601628.SH
601633.SH
601668.SH
601669.SH
601688.SH
601728.SH
601766.SH
601800.SH
601818.SH
601857.SH
601881.SH
601888.SH
601899.SH
601919.SH
601985.SH
603259.SH
603288.SH
603501.SH
603799.SH
688005.SH
688008.SH
688009.SH
688012.SH
688036.SH
688111.SH
688185.SH
688256.SH
688396.SH
688599.SH
