trade_date,close,rsi,ema12,ema26,dif,dea,macd_hist,bb_upper,bb_middle,bb_lower
2025-06-30,601.5,,,,,,,,,
2025-07-01,563.0,,,,,,,,,
2025-07-02,545.1,,,,,,,,,
2025-07-03,547.3,,,,,,,,,
2025-07-04,547.47,,,,,,,,,
2025-07-07,541.38,,,,,,,,,
2025-07-08,542.77,,,,,,,,,
2025-07-09,535.0,,,,,,,,,
2025-07-10,523.5,,,,,,,,,
2025-07-11,553.98,,,,,,,,,
2025-07-14,565.06,,,,,,,,,
2025-07-15,553.1,,551.5966666666667,,,,,,,
2025-07-16,580.19,,555.995641025641,,,,,,,
2025-07-17,582.4,,560.0578500986193,,,,,,,
2025-07-18,582.62,44.39962031324157,563.5289500834471,,,,,,,
2025-07-21,582.0,44.22444044437171,566.370650070609,,,,,,,
2025-07-22,593.93,48.43996462575181,570.6105500597461,,,,,,,
2025-07-23,595.56,49.00705152858528,574.4489269736313,,,,,,,
2025-07-24,600.23,50.68071128895038,578.415245900765,,,,,,,
2025-07-25,673.3,68.24358111762263,593.0129003775703,,,,,636.1441305585345,570.4694999999999,504.7948694414654
2025-07-28,679.0,69.16600163559548,606.2416849348672,,,,,654.4462484141263,574.3444999999999,494.2427515858735
2025-07-29,710.78,73.74502412876521,622.3245026371953,,,,,681.2075690381167,581.7335,482.25943096188337
2025-07-30,684.7,65.1892851220782,631.9207330007036,,,,,696.1947828868358,588.7135000000001,481.2322171131643
2025-07-31,709.5,68.88595035761722,643.8560048467492,,,,,714.5689792805229,596.8235000000001,479.0780207194773
2025-08-01,689.1,62.962904374636466,650.8166194857108,,,,,725.8855075411642,603.905,481.92449245883574
2025-08-04,689.06,62.951474673744535,656.7002164879091,598.905,57.7952164879091,,,735.1015602513737,611.289,487.4764397486263
2025-08-05,695.0,63.996685111641895,662.5924908743846,606.0231481481482,56.569342726236414,,,743.6416158319503,618.9005,494.15938416804966
2025-08-06,694.34,63.781372807472884,667.4767230475562,612.5651371742113,54.91158587334496,,,749.4922058100448,626.8675,504.24279418995513
2025-08-07,703.0,65.42510434368788,672.9418425787014,619.2640159020474,53.677826676654036,,,753.0469345364118,635.8425,518.6380654635882
2025-08-08,692.8,61.86385141329018,675.9969437204397,624.711125835229,51.28581788521069,,,756.1532805016842,642.7835,529.4137194983158
2025-08-11,707.4,64.81601732521173,680.8281831480643,630.836227625212,49.99195552285232,,,760.7019905089279,649.9005,539.099009491072
2025-08-12,848.88,80.53821954641431,706.6823088175929,646.9876181714926,59.6946906461003,,,796.7751280561972,664.6895000000001,532.6038719438029
2025-08-13,860.0,81.24750626584817,730.2696459225785,662.7663131217524,67.50333280082612,,,829.891381714473,678.68,527.4686182855269
2025-08-14,949.0,85.73010559216497,763.9204696267972,683.9688084460671,79.95166118073007,59.04238108887378,41.81856018371258,882.1627454832903,697.01,511.8572545167096
2025-08-15,923.7,79.88426041557626,788.5019358380591,701.7266744870992,86.77526135095991,64.58895714129102,44.37260841933778,916.0017139020845,714.064,512.1262860979155
2025-08-18,950.0,81.3109243519036,813.3477918629732,720.1172911917585,93.23050067121471,70.31726584727576,45.8264696478779,949.4192476802536,732.4639999999999,515.5087523197462
2025-08-19,933.98,77.69618632947777,831.9065931148234,735.9589733257022,95.94761978912118,75.44333663564484,41.00856630695267,973.5125784994914,749.4665,525.4204215005086
2025-08-20,1013.0,81.95702645084623,859.7671172510045,756.4805308571317,103.28658639387277,81.01198658729044,44.54919961316466,1010.3522969596753,770.3385,530.3247030403246
